Worker ID,Link to Individual Worker Page,Number of HITs approved or rejected - Lifetime,Number of HITs approved - Lifetime,Your Lifetime approval rate,Number of HITs approved or rejected - Last 30 days,Number of HITs approved - Last 30 days,Your Last 30 days approval rate,Number of HITs approved or rejected - Last 7 days,Number of HITs approved - Last 7 days,Your Last 7 days approval rate,CURRENT-3rditeration,UPDATE-3rditeration,CURRENT-2nditeration,UPDATE-2nditeration,CURRENT-1stparallel,UPDATE-1stparallel,CURRENT-1stiteration,UPDATE-1stiteration,CURRENT BlockStatus,UPDATE BlockStatus,BlockReason
A3PE6Y84HH8AKG,https://master-requester.mturk.com/workers/A3PE6Y84HH8AKG,13,13,100.00%,13,13,100.00%,13,13,100.00%,,,,,,,,1,Never Blocked,,
A3PWHCBLUBWMRS,https://master-requester.mturk.com/workers/A3PWHCBLUBWMRS,4,4,100.00%,4,4,100.00%,0,0,0.00%,,,,,1,,1,,Never Blocked,,
A3R4489KD8RIY6,https://master-requester.mturk.com/workers/A3R4489KD8RIY6,1,0,0.00%,1,0,0.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A3T9WZOUQGE2UW,https://master-requester.mturk.com/workers/A3T9WZOUQGE2UW,9,9,100.00%,9,9,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A3UWHJTAUTF6TO,https://master-requester.mturk.com/workers/A3UWHJTAUTF6TO,6,6,100.00%,6,6,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A3VLGVKJOHU58D,https://master-requester.mturk.com/workers/A3VLGVKJOHU58D,2,2,100.00%,2,2,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A3VOYK4UGI5BJF,https://master-requester.mturk.com/workers/A3VOYK4UGI5BJF,1,1,100.00%,1,1,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A5BCSSPC180AG,https://master-requester.mturk.com/workers/A5BCSSPC180AG,7,7,100.00%,7,7,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A61KQYQ00YNL1,https://master-requester.mturk.com/workers/A61KQYQ00YNL1,15,15,100.00%,15,15,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A8MF3Y278EWK2,https://master-requester.mturk.com/workers/A8MF3Y278EWK2,12,12,100.00%,12,12,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
A8TLS2F8LFQ68,https://master-requester.mturk.com/workers/A8TLS2F8LFQ68,8,8,100.00%,8,8,100.00%,0,0,0.00%,1,,,,,,1,,Never Blocked,,
AABIX1L6Q3X0,https://master-requester.mturk.com/workers/AABIX1L6Q3X0,4,4,100.00%,4,4,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
ADP1QUGXHGJRS,https://master-requester.mturk.com/workers/ADP1QUGXHGJRS,1,1,100.00%,1,1,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
ADQHGQF65JJ08,https://master-requester.mturk.com/workers/ADQHGQF65JJ08,1,1,100.00%,1,1,100.00%,0,0,0.00%,,,1,,,,1,,Never Blocked,,
AESEZX8S7Z3IC,https://master-requester.mturk.com/workers/AESEZX8S7Z3IC,15,15,100.00%,15,15,100.00%,15,15,100.00%,,,,,,,,1,Never Blocked,,
AGQU2CVMUAHD0,https://master-requester.mturk.com/workers/AGQU2CVMUAHD0,1,1,100.00%,1,1,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
AHGPUJ9DX7VKQ,https://master-requester.mturk.com/workers/AHGPUJ9DX7VKQ,6,6,100.00%,6,6,100.00%,0,0,0.00%,,,,,1,,1,,Never Blocked,,
AITCN4CRKA80R,https://master-requester.mturk.com/workers/AITCN4CRKA80R,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,,,,1,Never Blocked,,
AKSJ3C5O3V9RB,https://master-requester.mturk.com/workers/AKSJ3C5O3V9RB,13,13,100.00%,13,13,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
ALHY07J1IGHO8,https://master-requester.mturk.com/workers/ALHY07J1IGHO8,1,1,100.00%,1,1,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
AMQGOTPBRWYSF,https://master-requester.mturk.com/workers/AMQGOTPBRWYSF,11,11,100.00%,11,11,100.00%,0,0,0.00%,,,1,,1,,1,,Never Blocked,,
APGX2WZ59OWDN,https://master-requester.mturk.com/workers/APGX2WZ59OWDN,7,7,100.00%,7,7,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
AR29S906119QE,https://master-requester.mturk.com/workers/AR29S906119QE,4,4,100.00%,4,4,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
ARKEU8NM8ZJET,https://master-requester.mturk.com/workers/ARKEU8NM8ZJET,8,8,100.00%,8,8,100.00%,0,0,0.00%,1,,,,1,,1,,Never Blocked,,
ARTARDCXLJ5H6,https://master-requester.mturk.com/workers/ARTARDCXLJ5H6,12,12,100.00%,12,12,100.00%,0,0,0.00%,,,,,1,,1,,Never Blocked,,
ATIVK9XUANIUE,https://master-requester.mturk.com/workers/ATIVK9XUANIUE,5,5,100.00%,5,5,100.00%,0,0,0.00%,,,,,,,1,,Never Blocked,,
AZ2P6DGG5M6SH,https://master-requester.mturk.com/workers/AZ2P6DGG5M6SH,1,1,100.00%,1,1,100.00%,0,0,0.00%,1,,,,,,1,,Never Blocked,,
AZU9D7YLCTAYV,https://master-requester.mturk.com/workers/AZU9D7YLCTAYV,3,3,100.00%,3,3,100.00%,0,0,0.00%,,,,,,,1,1,Never Blocked,,
,,,,,,,,,,,,,,,,,,1,,,
